Center Lat	Center Lon	Radii (m)
26.00764	-80.301162	8046
26.532956	-80.090496	8046
26.15704	-80.117457	8046
26.100508	-80.127637	8046
28.932657	-81.933466	8046
26.72002	-80.088494	8046
28.241394	-82.353677	8046
26.61552	-81.79779	8046
26.40469	-81.807418	8046
27.463711	-82.575425	8046
29.164003	-82.16887	8046
28.92556	-82.579647	8046
28.52048	-81.586945	8046
26.240437	-80.254846	8046
26.516902	-80.077402	3218
28.043735	-80.671188	3218
27.462345	-82.571311	8046
28.342271	-81.421071	8046
25.733116	-80.320533	8046
26.04127	-80.16579	8046
27.231293	-82.495557	8046
29.124483	-82.101831	8046
28.232624	-81.640744	8046
25.58994	-80.35872	8046
30.18785	-81.5518	8046
27.236314	-80.268727	8046
28.79381	-81.33797	8046
26.100509	-80.12761	8046
26.219565	-81.771346	8046
26.00764	-80.301162	8046
25.692727	-80.303795	3218
25.773441	-80.3303	3218
27.957659	-82.505665	3218
25.887213	-80.164314	3218
28.497937	-81.428528	3218
28.37527	-81.404387	3218
27.937915	-82.261502	3218
31.190984	-85.402802	3218
28.03362	-80.62177	3218
27.93782	-82.308791	3218
27.339579	-82.45243	3218
28.92907	-81.926605	3218
25.57604	-80.37288	3218
28.54673	-81.703055	3218
25.978651	-80.37184	3218
26.208285	-80.223806	3218
29.060015	-82.454507	3218
26.413936	-80.100818	3218
26.43941	-80.085918	3218
28.466134	-81.275846	3218
25.993077	-80.206944	3218
25.732178	-80.379759	3218
26.331198	-81.755712	3218
28.553499	-80.84648	3218
28.37527	-81.404387	3218
30.141044	-83.60753	3218
29.165036	-82.16887	3218
27.993569	-81.74785	3218
30.184766	-85.647479	3218
30.14318	-85.591079	3218
25.873852	-80.171161	3218
30.8791	-87.78407	3218
28.911894	-82.606454	3218
28.690295	-81.225849	3218
27.870186	-82.705982	3218
29.618914	-82.383185	3218
27.937173	-82.324946	3218
28.172476	-82.473723	3218
26.60671	-81.974368	3218
28.34178	-82.18737	3218
28.06603	-82.57762	8046
28.069138	-82.57392	8046
25.579534	-80.368524	8046
25.970971	-80.143522	8046
25.692639	-80.303905	8046
26.40469	-81.807418	8046
30.19954	-81.739338	8046
26.665396	-80.202756	8046
25.65984	-80.326582	8046
28.37798	-81.4044	8046
25.86666	-80.317352	8046
28.792736	-81.341123	8046
31.270134	-85.447609	8046
25.686094	-80.3958	8046
28.48929	-81.43055	8046
28.017437	-82.737532	8046
30.67642	-88.12065	8046
28.063583	-82.575122	8046
26.58727	-81.87178	8046
27.384296	-82.456371	8046
27.462345	-82.571311	8046
27.988105	-82.729866	8046
25.579534	-80.368524	8046
28.357088	-80.687892	8046
27.236314	-80.268727	8046
26.144649	-80.322747	8046
26.269616	-80.206163	8046
26.00783	-80.29737	3218
26.219565	-81.771346	8046
28.08701	-82.504284	8046
26.665396	-80.202756	8046
30.254878	-81.533345	8046
27.463711	-82.575425	8046
26.261229	-80.099337	8046
30.254843	-81.533237	8046
28.904696	-81.915411	8046
28.520993	-81.584044	8046
28.035283	-80.6479	3218
28.07877	-80.667627	3218
30.104049	-81.83084	3218
30.674664	-88.134913	3218
30.17872	-82.666121	3218
28.553499	-80.84648	3218
28.241852	-82.72779	3218
30.602752	-87.071289	3218
26.350845	-80.11284	3218
30.20303	-81.61743	3218
30.603438	-87.126496	3218
30.4307	-84.24534	3218
27.237508	-80.269371	3218
28.552577	-80.839545	3218
27.937173	-82.324946	3218
26.144649	-80.322747	3218
30.102109	-81.723514	3218
28.180085	-82.465308	3218
28.138657	-80.582801	3218
30.189707	-85.668116	3218
30.8791	-87.78407	3218
26.681002	-80.21959	3218
27.838429	-80.485715	3218
28.278364	-82.675131	3218
30.65514	-87.897761	3218
25.577284	-80.370726	3218
28.9117	-81.29508	3218
26.706752	-80.108957	3218
29.659879	-82.424059	3218
26.605952	-81.87191	3218
24.716475	-81.074558	3218
30.660064	-87.856468	3218
27.889868	-82.506433	3218
31.140713	-83.784507	3218
25.57479	-80.37232	3218
26.325094	-81.805917	3218
26.368515	-80.13551	3218
26.586033	-80.146119	3218
26.95462	-82.353067	3218
30.676122	-88.120851	3218
26.144649	-80.322747	3218
28.188115	-82.547226	3218
26.16714	-80.256396	3218
27.772929	-82.67934	3218
27.808041	-82.752209	3218
27.296539	-82.53062	8046
29.166829	-82.168	8046
28.017437	-82.737532	8046
29.620991	-82.379427	8046
27.463711	-82.575425	8046
25.786689	-80.368626	8046
28.08096	-80.65369	8046
28.79381	-81.33797	8046
30.457514	-88.89943	8046
30.478771	-87.207809	8046
30.19954	-81.739328	8046
28.66392	-81.376967	8046
28.92556	-82.579647	8046
28.800289	-81.33105	8046
30.318148	-81.555942	8046
25.78982	-80.371515	8046
29.193724	-81.065094	8046
27.231293	-82.495557	8046
26.408187	-81.809924	8046
26.00764	-80.301162	8046
30.19954	-81.739328	8046
28.553212	-81.346777	8046
30.436355	-84.259686	8046
26.23842	-80.247247	8046
28.551367	-81.204212	3218
26.14577	-80.317334	3218
30.476912	-81.6427	8046
28.922247	-81.924481	8046
30.254843	-81.533237	8046
26.36785	-80.11612	8046
26.58727	-81.87178	8046
27.463711	-82.575425	8046
27.296539	-82.53062	8046
29.166829	-82.168	8046
28.017437	-82.737532	8046
29.620991	-82.379427	8046
26.616311	-81.795485	8046
26.839925	-80.092035	8046
28.663931	-81.372526	8046
28.551099	-81.577008	3218
26.008135	-80.285765	3218
26.007907	-80.293445	3218
26.413936	-80.100818	3218
27.960471	-82.7284	3218
28.914942	-81.281606	3218
28.665257	-81.417638	3218
25.993077	-80.206944	3218
30.845161	-83.317932	3218
28.488331	-81.435507	3218
30.78298	-81.634237	3218
27.629859	-80.3892	3218
30.80187	-83.29678	3218
29.147623	-82.187842	3218
26.242767	-80.253852	3218
27.83698	-82.682253	3218
28.071887	-82.427373	3218
28.230685	-81.639315	3218
30.457514	-88.89943	3218
26.34998	-81.80751	3218
27.981651	-82.301491	3218
28.505257	-81.31035	3218
27.93757	-82.316776	3218
26.007751	-80.36002	3218
29.555465	-81.22496	3218
28.07877	-80.667627	3218
24.713981	-81.083997	3218
25.849185	-80.298303	3218
28.895772	-82.584897	3218
27.812069	-82.728498	3218
31.191068	-85.403064	3218
30.78298	-81.634237	3218
30.432859	-84.251328	3218
30.53287	-87.26265	3218
27.93782	-82.308791	3218
30.389442	-86.41662	3218
26.008135	-80.285765	3218
28.05457	-82.432028	3218
30.53287	-87.26265	3218
27.90405	-81.841694	3218
27.1684	-80.2287	3218
26.28862	-80.20188	3218
30.78298	-81.634237	3218
25.684755	-80.437249	3218
27.43244	-82.57545	3218
26.709428	-80.203814	3218
26.483496	-81.786035	3218
30.254878	-81.533345	8046
27.463711	-82.575425	8046
26.261229	-80.099337	8046
26.162981	-80.115937	8046
27.63913	-80.454381	8046
25.793244	-80.188972	8046
28.801785	-81.34161	8046
27.298259	-82.530527	8046
28.241394	-82.353677	8046
30.18785	-81.5518	8046
25.774441	-80.140183	8046
25.577284	-80.370726	8046
30.189463	-81.707117	8046
25.787598	-80.141059	8046
28.448642	-81.401183	8046
28.37798	-81.4044	8046
30.189541	-85.64316	8046
25.695789	-80.300053	3218
26.516902	-80.077402	3218
26.007907	-80.293445	3218
28.624224	-81.761252	8046
25.58994	-80.35872	8046
28.52048	-81.586945	8046
30.186807	-81.733815	8046
29.19071	-81.07309	8046
30.478771	-87.207809	8046
30.19954	-81.739328	8046
28.66392	-81.376967	8046
27.94074	-82.324075	8046
26.04127	-80.16579	8046
27.335686	-82.449417	8046
25.853259	-80.179965	8046
26.162981	-80.115937	8046
28.017437	-82.737532	8046
30.476912	-81.6427	8046
26.145891	-80.316399	3218
25.657237	-80.38543	3218
26.707867	-80.149329	3218
26.67598	-80.202396	3218
25.76498	-80.243471	3218
28.609184	-81.388826	3218
30.88901	-84.56607	3218
27.996177	-82.581438	3218
31.453223	-83.527639	3218
30.685127	-88.22547	3218
28.002007	-81.924024	3218
28.52096	-81.587125	3218
28.08872	-82.503583	3218
28.230192	-80.721443	3218
26.534113	-80.090514	3218
29.183104	-81.07868	3218
27.228845	-82.494305	3218
26.934355	-80.128294	3218
27.925885	-82.787755	3218
30.345367	-81.42008	3218
27.54746	-81.812458	3218
30.76486	-85.202025	3218
28.552025	-81.476237	3218
29.154149	-82.181316	3218
26.707867	-80.149329	3218
28.665257	-81.417638	3218
25.645287	-80.333348	3218
29.149566	-80.972781	3218
28.07877	-80.667433	3218
26.09262	-80.251156	3218
27.84284	-82.794784	3218
25.76089	-80.39526	3218
31.190984	-85.402802	3218
31.453223	-83.527639	3218
30.639617	-81.453244	3218
28.304569	-81.425928	3218
27.264485	-80.284592	3218
29.678485	-82.33902	3218
26.242767	-80.253852	3218
24.569305	-81.766935	3218
29.86104	-81.323043	3218
27.831178	-82.679876	3218
28.800371	-81.341153	3218
27.550277	-81.812434	3218
30.358563	-87.68328	3218
26.57474	-80.053473	3218
27.95163	-81.61545	3218
27.94717	-82.52723	3218
28.663495	-81.379432	3218
26.511555	-81.94373	3218
28.756068	-81.348792	3218
28.062765	-82.706296	3218
28.935761	-81.939183	3218
27.93757	-82.316776	3218
27.63913	-80.454381	8046
25.793244	-80.188972	8046
28.801785	-81.34161	8046
27.298259	-82.530527	8046
28.241394	-82.353677	8046
27.894706	-82.783856	8046
27.236314	-80.268727	8046
28.52048	-81.586945	8046
26.261255	-80.099333	8046
26.00764	-80.301162	8046
27.894706	-82.783819	8046
27.942683	-82.5057	8046
29.164003	-82.16887	8046
27.790568	-82.728601	8046
26.007624	-80.300983	8046
27.941813	-82.325412	8046
29.19071	-81.07309	8046
28.130274	-82.367915	8046
27.463711	-82.575425	8046
30.254878	-81.533345	8046
28.48929	-81.43055	8046
27.8365	-82.681772	8046
27.957948	-82.50547	8046
27.63913	-80.454381	8046
29.124483	-82.101831	8046
28.904696	-81.915411	8046
30.673425	-88.120443	8046
28.55244	-81.205098	3218
25.656275	-80.413915	3218
28.37798	-81.4044	8046
28.130731	-82.368647	8046
27.928952	-82.326945	8046
25.86666	-80.317352	8046
28.792736	-81.341123	8046
31.270134	-85.447609	8046
25.861724	-80.374867	8046
27.338797	-82.452557	8046
28.45017	-81.40179	8046
29.620609	-82.380084	8046
26.145893	-80.312682	8046
26.221203	-81.773783	8046
28.043735	-80.671188	3218
26.367838	-80.199965	3218
30.387977	-86.439704	3218
26.161159	-80.257376	3218
26.240862	-80.254353	3218
31.456747	-83.527049	3218
30.257254	-81.742162	3218
28.45517	-81.477484	3218
30.429983	-81.650016	3218
28.68357	-81.33413	3218
30.187758	-81.62776	3218
29.8744	-81.32358	3218
28.172476	-82.473723	3218
28.470889	-82.475132	3218
28.188115	-82.547226	3218
31.183595	-81.470384	3218
28.493575	-82.22013	3218
31.198935	-82.325136	3218
26.58743	-80.07228	3218
26.486728	-81.785031	3218
25.460412	-80.475114	3218
25.97972	-80.359591	3218
28.546999	-81.739808	3218
30.17529	-85.681763	3218
30.428724	-87.270558	3218
27.521556	-82.54027	3218
27.4266	-80.325903	3218
30.903858	-84.550605	3218
30.80187	-83.29678	3218
28.791932	-81.343504	3218
28.096856	-82.50214	3218
27.96046	-82.73178	3218
27.788509	-82.67938	3218
25.791722	-80.222653	3218
31.453466	-83.527413	3218
30.294136	-81.774109	3218
25.577284	-80.370726	3218
30.422288	-86.612425	3218
30.1942	-81.55163	3218
30.306222	-87.68293	3218
25.971997	-80.143039	3218
28.65962	-81.41926	3218
26.120739	-80.25263	8046
28.454622	-82.630992	8046
25.789816	-80.371333	8046
26.72002	-80.088494	8046
28.932657	-81.933466	8046
26.370554	-80.2034	8046
25.970971	-80.143522	8046
31.26901	-85.446273	8046
30.673407	-88.122289	8046
27.244288	-80.271929	8046
28.29383	-82.709408	8046
30.841986	-83.318626	8046
26.485986	-81.791663	8046
25.688344	-80.32041	8046
25.65984	-80.326582	8046
27.966358	-82.729531	8046
28.79381	-81.33797	8046
30.318148	-81.555942	8046
27.63913	-80.454381	8046
26.120739	-80.25263	8046
28.454622	-82.630992	8046
25.789816	-80.371333	8046
26.72002	-80.088494	8046
28.932657	-81.933466	8046
26.370554	-80.2034	8046
29.124483	-82.101831	8046
26.370554	-80.2034	8046
28.342271	-81.421071	8046
30.67642	-88.12065	8046
28.801768	-81.341617	8046
26.219592	-81.772151	3218
31.1837	-83.761812	3218
26.453034	-80.146952	3218
26.293489	-80.201931	3218
28.65522	-81.22643	3218
30.293438	-81.605063	3218
27.993569	-81.74785	3218
28.55193	-81.489567	3218
28.326935	-81.47083	3218
25.80874	-80.195256	3218
25.692727	-80.303795	3218
28.40324	-81.406149	3218
26.145891	-80.316399	3218
30.434689	-87.27656	3218
25.86652	-80.3147	3218
28.75308	-81.358643	3218
28.326935	-81.47083	3218
30.178914	-85.681116	3218
30.510583	-87.886168	3218
30.281335	-81.525165	3218
26.602731	-81.871694	3218
28.846071	-82.344564	3218
26.84509	-80.085575	3218
27.639134	-80.454762	3218
27.93484	-82.32449	3218
28.82168	-81.66612	3218
28.52096	-81.587125	3218
31.267543	-85.444688	3218
28.551367	-81.204212	3218
29.012413	-81.009095	3218
25.86666	-80.317352	8046
28.792736	-81.341123	8046
31.270134	-85.447609	8046
29.124483	-82.101831	8046
28.443587	-81.402694	8046
28.904696	-81.915411	8046
28.130731	-82.368647	8046
28.241394	-82.353677	8046
25.787598	-80.141059	8046
27.8365	-82.681771	8046
27.8365	-82.681772	8046
28.07896	-80.649751	8046
26.368595	-80.137119	8046
26.616311	-81.795485	8046
30.47873	-87.207855	8046
28.79381	-81.33797	8046
26.100509	-80.12761	8046
30.666312	-87.849397	8046
25.861724	-80.374867	8046
26.839925	-80.092035	8046
27.928952	-82.326945	8046
30.67642	-88.12065	8046
27.987825	-82.72971	8046
28.064158	-82.551703	3218
28.07877	-80.667433	3218
28.035283	-80.6479	3218
25.866656	-80.317006	8046
26.23842	-80.247247	8046
30.436355	-84.259686	8046
26.368595	-80.137119	8046
26.66191	-80.202885	8046
26.145108	-80.32468	8046
28.443652	-81.402676	8046
28.130274	-82.367915	8046
29.19071	-81.07309	8046
25.774441	-80.140183	8046
26.269616	-80.206163	8046
30.18582	-81.55179	8046
28.07896	-80.649751	8046
26.144649	-80.322747	3218
25.849185	-80.298303	3218
30.4737	-87.225341	3218
28.9117	-81.29508	3218
29.198854	-82.084988	3218
28.264503	-82.188022	3218
27.92594	-82.787604	3218
30.639617	-81.453244	3218
25.114418	-80.42177	3218
26.61907	-80.13732	3218
28.45062	-81.39088	3218
25.939424	-80.292288	3218
27.84669	-82.64692	3218
30.69008	-81.455116	3218
30.90384	-84.55601	3218
31.1837	-83.761812	3218
28.219936	-82.24614	3218
28.68799	-81.540668	3218
27.22579	-82.489372	3218
28.664805	-81.236515	3218
27.95297	-81.87019	3218
27.231293	-82.495557	3218
30.435434	-84.257228	3218
26.231348	-80.146146	3218
28.35709	-80.68754	3218
25.69934	-80.295615	3218
25.930566	-80.297366	3218
27.813749	-82.75398	3218
30.38946	-88.99003	3218
25.692727	-80.303795	3218
30.363122	-87.359707	3218
30.457514	-88.89943	3218
26.934355	-80.128294	3218
30.189544	-85.642725	8046
30.66628	-87.848935	8046
30.388934	-86.425162	8046
27.01352	-82.144598	8046
26.170711	-81.799473	8046
26.535055	-80.090717	8046
26.66493	-80.202773	8046
26.144649	-80.322747	8046
30.67642	-88.12065	8046
27.639134	-80.454762	8046
25.440565	-80.47511	8046
30.436355	-84.259686	8046
25.65984	-80.326582	8046
31.26901	-85.446273	8046
28.35709	-80.68754	8046
26.17011	-81.799439	8046
28.800726	-81.331014	8046
28.086557	-82.504474	8046
26.839925	-80.092035	8046
28.45017	-81.40179	8046
26.145893	-80.312682	8046
28.069138	-82.57392	8046
30.18582	-81.55179	8046
28.35709	-80.68754	8046
28.07896	-80.649751	8046
25.692639	-80.303905	8046
30.457514	-88.89943	8046
28.37798	-81.4044	8046
26.485986	-81.791663	8046
27.461057	-82.604163	8046
26.368595	-80.137119	8046
26.588168	-81.871778	8046
30.436355	-84.259686	8046
30.673425	-88.120443	8046
26.240437	-80.254846	8046
25.440565	-80.47511	8046
25.695789	-80.300053	3218
28.661839	-81.416012	3218
26.486728	-81.785031	3218
28.456058	-81.401867	3218
27.893706	-82.335648	3218
26.529507	-81.87113	3218
26.331098	-81.75912	3218
30.186947	-81.733916	3218
25.926684	-80.179741	3218
28.018201	-82.738303	3218
30.422288	-86.612425	3218
27.531625	-82.501771	3218
25.78511	-80.332589	3218
28.386235	-80.70621	3218
27.89456	-82.784061	3218
26.047706	-80.251604	3218
30.514956	-86.46117	3218
28.315004	-82.557753	3218
28.978182	-81.983801	3218
26.219592	-81.772151	3218
27.922989	-82.331083	3218
28.49882	-82.593425	3218
25.843828	-80.327739	3218
26.453034	-80.146952	3218
27.792	-82.66362	3218
31.245044	-85.428795	3218
26.240862	-80.254353	3218
26.0661	-80.360896	3218
26.09676	-80.25119	3218
28.821007	-81.67625	3218
27.839247	-82.734381	3218
26.585771	-81.87195	3218
30.429983	-81.650016	3218
30.185712	-85.773079	3218
30.673428	-88.120074	3218
30.416497	-86.653825	3218
28.092637	-80.62186	3218
30.601791	-87.111233	3218
26.09676	-80.25119	3218
26.808075	-80.07859	3218
30.783318	-86.559842	3218
27.49233	-81.485013	3218
30.90384	-84.55601	3218
27.337788	-82.462655	3218
28.043735	-80.671188	3218
28.30456	-81.432466	3218
26.00763	-80.318714	3218
30.436355	-84.259686	8046
28.663931	-81.372526	8046
30.254843	-81.533237	8046
29.620609	-82.380084	8046
25.78982	-80.371515	8046
28.551861	-81.517757	8046
28.450173	-81.401972	8046
25.733116	-80.320533	8046
29.193724	-81.065094	8046
28.663931	-81.372526	8046
26.719892	-80.088634	8046
28.29383	-82.709408	8046
25.786912	-80.368633	8046
25.45638	-80.47524	8046
28.450173	-81.401972	8046
28.800289	-81.33105	8046
26.535055	-80.090717	8046
30.476912	-81.6427	8046
25.657237	-80.38543	3218
25.685748	-80.400829	3218
27.790568	-82.728601	8046
30.47362	-87.21198	8046
28.55345	-81.328727	8046
29.161732	-82.173388	8046
26.616311	-81.795485	8046
25.78276	-80.379869	8046
28.017261	-82.618717	8046
26.61552	-81.79779	8046
28.017264	-82.618717	8046
27.894706	-82.783856	8046
27.928952	-82.326945	8046
28.37798	-81.4044	8046
27.987825	-82.72971	8046
26.14715	-80.31263	8046
25.910288	-80.157331	3218
25.92319	-80.297274	3218
26.592475	-80.147398	3218
31.245044	-85.428795	3218
26.180082	-81.707007	3218
30.17529	-85.681763	3218
26.605952	-81.87191	3218
30.903858	-84.550605	3218
27.63871	-80.44417	3218
25.99273	-80.24771	3218
28.493574	-81.428055	3218
26.27073	-81.737684	3218
28.01687	-82.618105	3218
27.049809	-82.391259	3218
26.168544	-80.117765	3218
30.260321	-81.525201	3218
29.012413	-81.009095	3218
30.283558	-81.525525	3218
25.695789	-80.300053	3218
26.02723	-80.208235	3218
27.893706	-82.335648	3218
30.4737	-87.225341	3218
30.387977	-86.439704	3218
27.944345	-82.35799	3218
27.629859	-80.3892	3218
28.451607	-81.400363	3218
26.330677	-81.807811	3218
30.293438	-81.605063	3218
31.456747	-83.527049	3218
28.60135	-81.3651	3218
30.168162	-85.662526	3218
26.008135	-80.285765	3218
27.44725	-82.526423	3218
28.55193	-81.489567	3218
26.652947	-81.969174	3218
28.079204	-82.506949	3218
30.35831	-81.697136	3218
26.00784	-80.308524	3218
26.120739	-80.25263	3218
27.49616	-82.635454	3218
29.488559	-82.858319	3218
28.494832	-82.597369	3218
28.08872	-82.503583	3218
28.071887	-82.427373	3218
25.85525	-80.317577	3218
27.228845	-82.494305	3218
30.676122	-88.120851	3218
26.839925	-80.092035	8046
28.086557	-82.504474	8046
27.462345	-82.571311	8046
27.384296	-82.456371	8046
26.58727	-81.87178	8046
27.464071	-82.575419	8046
30.388934	-86.425162	8046
25.866656	-80.317006	8046
28.52048	-81.586945	8046
27.957948	-82.50547	8046
25.853221	-80.179997	8046
30.476912	-81.6427	8046
27.957948	-82.50547	8046
26.007839	-80.300399	8046
25.436261	-80.47477	8046
26.4865	-81.79132	8046
27.338797	-82.452557	8046
25.753889	-80.246584	8046
29.161732	-82.173388	8046
28.66392	-81.37695	8046
26.532956	-80.090496	8046
30.18582	-81.55179	8046
26.53243	-80.088045	8046
25.68584	-80.397833	8046
30.66628	-87.848935	8046
30.189544	-85.642725	8046
27.894706	-82.783856	8046
28.52096	-81.587125	3218
28.07877	-80.667627	3218
25.695789	-80.300053	3218
26.211658	-81.772894	3218
25.657237	-80.38543	3218
26.162981	-80.115937	8046
27.244758	-80.272112	8046
27.298538	-82.530513	8046
28.357088	-80.687892	8046
27.988105	-82.729866	8046
28.48929	-81.43055	8046
27.236597	-80.26883	8046
30.19954	-81.739338	8046
25.78276	-80.379869	8046
28.130731	-82.368647	8046
26.402376	-80.220977	8046
26.516902	-80.077402	3218
28.53718	-81.20796	3218
25.996189	-80.176312	3218
25.460412	-80.475114	3218
27.247046	-80.272923	3218
28.451607	-81.400363	3218
28.821007	-81.67625	3218
27.341299	-82.49736	3218
27.009625	-82.133186	3218
27.00988	-82.15322	3218
27.96046	-82.73178	3218
28.595179	-81.286602	3218
26.483496	-81.786035	3218
30.844871	-83.317895	3218
26.52641	-80.16401	3218
28.085935	-82.504507	3218
27.808041	-82.752209	3218
31.374218	-84.946714	3218
26.325094	-81.805917	3218
30.655167	-87.902031	3218
25.92319	-80.297274	3218
28.546785	-81.726962	3218
30.674298	-88.22548	3218
27.91988	-81.605084	3218
26.618375	-80.11009	3218
26.934177	-80.124859	3218
25.986677	-80.175363	3218
27.988863	-81.688325	3218
26.180082	-81.707007	3218
27.49616	-82.635454	3218
30.188769	-85.758638	3218
25.86652	-80.31205	3218
27.00988	-82.15322	3218
28.07881	-80.696603	3218
30.189837	-85.688353	3218
30.480174	-87.217296	3218
27.2775	-82.530675	3218
30.1797	-82.67698	3218
26.706752	-80.108957	3218
31.460262	-85.640518	3218
26.11675	-80.25757	3218
25.73318	-80.32137	3218
25.978651	-80.37184	3218
30.198153	-81.823023	3218
27.049809	-82.391259	3218
29.109667	-81.026305	3218
28.658247	-81.236999	3218
26.572074	-80.114233	3218
27.712404	-82.374721	3218
30.67642	-88.120374	8046
28.09565	-81.97363	8046
30.18582	-81.55179	8046
26.408187	-81.809924	8046
27.941813	-82.325412	8046
26.58727	-81.87178	8046
27.244758	-80.272112	8046
27.790568	-82.728601	8046
28.342271	-81.421071	8046
28.069138	-82.57392	8046
26.240437	-80.254846	8046
29.163971	-82.16887	8046
26.269616	-80.206163	8046
28.342253	-81.42149	8046
29.193724	-81.065094	8046
28.556664	-81.206943	8046
27.013385	-82.144988	8046
26.588168	-81.871778	8046
25.58994	-80.35872	8046
26.162981	-80.115937	8046
27.987825	-82.72971	8046
27.956046	-82.312629	8046
25.853221	-80.179997	8046
27.957948	-82.50547	8046
28.52048	-81.586945	8046
30.478771	-87.207809	8046
30.19954	-81.739338	8046
30.388934	-86.425162	8046
28.08701	-82.504284	8046
30.189463	-81.707117	8046
25.440565	-80.47511	8046
26.219592	-81.772151	3218
26.008135	-80.285765	3218
28.063775	-82.576533	8046
26.719892	-80.088634	8046
26.100509	-80.12761	8046
28.08096	-80.65369	8046
26.4865	-81.79132	8046
30.18785	-81.5518	8046
26.839925	-80.092035	8046
28.086557	-82.504474	8046
27.462345	-82.571311	8046
27.384296	-82.456371	8046
26.58727	-81.87178	8046
30.186807	-81.733815	8046
27.244758	-80.272112	8046
28.624224	-81.761252	8046
26.719892	-80.088634	8046
26.14577	-80.317334	3218
28.078983	-81.963762	3218
27.998418	-80.621678	3218
28.278364	-82.675131	3218
25.735768	-80.245835	3218
25.76089	-80.39526	3218
30.432859	-84.251328	3218
26.330677	-81.807811	3218
27.521556	-82.54027	3218
26.20129	-81.80034	3218
30.100809	-83.585916	3218
28.657332	-81.335836	3218
26.40642	-81.8062	3218
